UserID,FirstName,LastName,Email,Department,Role,Plan,Region,SignupDate,Status
226,Pamela,Davis,aporter@example.com,Data Science,Analyst,Free,South,2025-06-02,Churned
227,Frank,Baker,jerry43@example.org,HR,Senior Analyst,Free,South,2025-10-21,Active
228,Amanda,Brown,lindsay70@example.com,Data Science,Analyst,Free,East,2025-05-13,Churned
229,Jillian,Mccullough,mariahstrickland@example.org,Operations,Senior Analyst,Free,North,2025-08-17,Active
230,Brenda,Greene,kaylatucker@example.net,Marketing,Individual Contributor,Free,North,2025-10-11,Active
231,Vicki,Morris,wsmith@example.org,Marketing,Senior Analyst,Free,North,2025-09-19,Churned
232,Catherine,Padilla,zherrera@example.net,Marketing,Analyst,Free,West,2025-05-04,Active
233,Lee,Wade,zdorsey@example.net,Finance,Individual Contributor,Free,South,2025-10-17,Churned
234,Christopher,Freeman,tyler87@example.com,Operations,Analyst,Free,East,2025-10-16,Active
235,Michael,Jimenez,david89@example.net,Marketing,Analyst,Free,Central,2025-04-20,Churned
236,Donna,Gonzalez,martinezandrew@example.net,Engineering,Senior Analyst,Free,East,2025-12-25,Churned
237,Patricia,Velazquez,lestertodd@example.org,Finance,Individual Contributor,Free,South,2025-11-16,Active
238,Jacqueline,Flores,craig36@example.net,Operations,Individual Contributor,Pro,East,2025-08-30,Active
239,Yvonne,Miller,krystal36@example.net,Operations,Analyst,Pro,East,2025-04-30,Active
240,Timothy,Bennett,smiththomas@example.org,HR,Senior Analyst,Pro,East,2025-07-25,Active
241,Sandra,Klein,lopezgeorge@example.org,Operations,Analyst,Free,South,2025-09-01,Churned
242,Randall,Thompson,guzmanvirginia@example.net,HR,Senior Analyst,Free,North,2025-06-14,Active
243,Johnny,Lee,scottmoore@example.org,Finance,Analyst,Pro,Central,2025-07-21,Active
244,George,Shelton,zjensen@example.net,Marketing,Senior Analyst,Pro,South,2025-09-12,Active
245,Sarah,Cunningham,jesus62@example.org,Operations,Senior Analyst,Free,North,2025-08-09,Active
246,Matthew,Pope,randolphjeff@example.org,Product,Analyst,Pro,Central,2025-11-30,Churned
247,Dustin,Sanchez,mary83@example.net,Finance,Analyst,Free,East,2025-10-10,Active
248,Samantha,Simmons,perryerik@example.net,Operations,Individual Contributor,Free,West,2025-11-13,Active
249,Chad,Barry,dylan52@example.com,Operations,Individual Contributor,Pro,North,2025-10-08,Active
250,Mark,Wilson,justin85@example.net,Data Science,Analyst,Free,West,2025-04-25,Active
251,Rhonda,Davis,wwilson@example.com,Operations,Analyst,Free,North,2025-10-01,Active
252,Sherry,Maxwell,aalexander@example.com,Finance,Manager,Pro,North,2025-07-23,Active
253,Brent,Martin,nathan50@example.net,Operations,Analyst,Free,North,2025-08-17,Active
254,Alyssa,Hudson,mrivera@example.net,Marketing,Individual Contributor,Pro,West,2025-09-17,Active
255,Barry,Schultz,jkelly@example.org,Data Science,Senior Analyst,Free,West,2025-10-15,Active
256,Alison,Jenkins,kgibson@example.net,Finance,Analyst,Pro,North,2025-06-22,Active
257,Kenneth,Sanford,robert76@example.com,Engineering,Individual Contributor,Pro,North,2025-06-11,Active
258,John,Harris,lhancock@example.net,Data Science,Senior Analyst,Free,North,2025-12-02,Active
259,Benjamin,Holden,sullivanamy@example.com,Finance,Senior Analyst,Pro,West,2025-08-03,Active
260,Anthony,Carter,kelly21@example.org,Engineering,Analyst,Pro,East,2025-10-14,Churned
261,David,Martinez,hhaley@example.net,Operations,Analyst,Enterprise,Central,2025-11-01,Active
262,Cheryl,Joseph,steven28@example.com,Operations,Analyst,Pro,East,2025-04-09,Active
263,Andrew,Baker,figueroajesse@example.org,HR,Director,Free,South,2025-09-06,Active
264,David,Hubbard,susanacosta@example.org,Engineering,Analyst,Pro,North,2025-09-02,Active
265,Katelyn,Moran,david46@example.net,Data Science,Analyst,Pro,East,2025-05-03,Suspended
266,Taylor,Irwin,adrian47@example.com,Operations,Individual Contributor,Pro,Central,2025-06-09,Active
267,David,Davis,fisherjoel@example.com,Operations,Manager,Pro,West,2025-12-03,Active
268,Ashley,Kramer,masoncynthia@example.net,Operations,Senior Analyst,Pro,North,2025-07-30,Active
269,Crystal,Carpenter,pattonchloe@example.org,Marketing,Manager,Pro,North,2025-10-06,Active
270,Vanessa,Hall,barkerjonathan@example.org,Marketing,Individual Contributor,Free,North,2025-04-09,Churned
271,Albert,Foley,iprice@example.net,Marketing,Senior Analyst,Pro,North,2025-04-24,Suspended
272,Matthew,Young,uscott@example.com,Engineering,Manager,Enterprise,East,2025-11-18,Churned
273,Amy,George,nhickman@example.net,Data Science,Analyst,Free,West,2025-10-12,Active
274,Sandra,Smith,qhenson@example.net,Data Science,Manager,Free,South,2025-11-05,Active
275,Paul,Boyer,raymondjennifer@example.net,Operations,Senior Analyst,Free,East,2025-10-04,Active
276,Rhonda,Garcia,david96@example.net,Product,Manager,Free,West,2025-10-30,Active
277,Rodney,Miranda,thart@example.org,Data Science,Analyst,Enterprise,Central,2025-06-10,Active
278,James,Williams,james87@example.com,Finance,Analyst,Pro,South,2025-05-25,Active
279,Cynthia,Young,denniswilkinson@example.com,Operations,Manager,Free,Central,2025-07-30,Active
280,Alyssa,Brewer,prattmatthew@example.com,HR,Analyst,Pro,Central,2025-06-29,Active
281,Patricia,Nicholson,burtonrodney@example.com,Data Science,Individual Contributor,Pro,Central,2025-04-19,Active
282,Michelle,Bailey,shannon34@example.com,Finance,Analyst,Free,West,2025-10-04,Active
283,Cynthia,Johnson,pbennett@example.net,Operations,Analyst,Pro,East,2025-08-25,Active
284,Ryan,Ayers,christopher02@example.net,Data Science,Senior Analyst,Pro,North,2025-10-31,Active
285,Jessica,Morrison,aholt@example.net,HR,Senior Analyst,Free,West,2025-11-21,Active
286,Morgan,Bernard,doylejonathan@example.net,Data Science,Analyst,Free,Central,2025-05-29,Active
287,Virginia,Knox,adamsbryan@example.com,Engineering,Individual Contributor,Pro,South,2025-08-01,Active
288,Cody,Montgomery,timothyjackson@example.com,Finance,Individual Contributor,Free,West,2025-03-22,Suspended
289,Danielle,Johnston,tammydavis@example.org,Engineering,Senior Analyst,Free,West,2025-09-03,Active
290,James,Jackson,joel80@example.net,Engineering,Individual Contributor,Free,North,2025-10-22,Churned
